,Store Name,State,City,Address,Estimated Population,Per Capita Income,Malls,buyers count,potential location,Norm_Potential,Norm_Stores,Priority Index
49,"Zudio - Lalmati, Guwahti",Assam,Guwahati,"Ground and First Floor, National Highway 37, Near Vidya Mandir Path, Lalmati , Guwahati - 781029 , Assam",957352,118504,1,478676,11.4,0.114688129,0.140740741,-0.026052612
50,"Zudio - Silver Square, Guwahati",Assam,Guwahati,"Silver Square, Christian Basti, G S Road , Guwahati - 781005 , Assam",957352,118504,1,478676,11.4,0.114688129,0.140740741,-0.026052612
51,"ZUDIO - Narengi, Guwahati",Assam,Guwahati,"Mother Teresa Rd,Narengi Tinali, Guwahati - 781171",957352,118504,1,478676,11.4,0.114688129,0.140740741,-0.026052612
52,"Zudio - Azara, Guwahati",Assam,Guwahati,"Opposite Ramani Service Station, Near Don Bosco University, National Highway 37, Azara, Guwahati - 781017",957352,118504,1,478676,11.4,0.114688129,0.140740741,-0.026052612
53,"Zudio - Prime Shopping Complex, Guwahati",Assam,Guwahati,"Lob Kush Tower Lalganesh, Lokhra Rd, opp. Das Service Station, Kala Pahar, Guwahati - 781018",957352,118504,1,478676,11.4,0.114688129,0.140740741,-0.026052612
54,"Zudio - Panigaon, Nagaon",Assam,Nagaon,"Jyoti Nagar, Near V Mart, NH-37, Assam Trunk Road, Nagaon - 782001",147137,118504,1,73568.5,82.4,0.828973843,0.140740741,0.688233102
55,"ZUDIO - Bhakaatpara Road, Nalbari",Assam,Nalbari,"Ward No-2, Khatbari, Bhakaatpara Road, Nalbari Town, Nalbari - 781335",27839,118504,1,13919.5,3.6,0.036217304,0.140740741,-0.104523437
56,"Zudio - Tarapur, Silchar",Assam,Silchar,"Holding No- 116/A, Club Road, Silchar - 788001",172830,118504,1,86415,98.2,0.987927565,0.140740741,0.847186825
57,"Zudio - Nazirpatty, Silchar",Assam,Silchar,"Shillongpatty GF,1F,2F, Shyam Prasad Road, Silchar - 788001",172830,118504,1,86415,98.2,0.987927565,0.140740741,0.847186825
58,"Zudio - Mahabhairab, Tezpur",Assam,Tezpur,"N.C. Road, Near Kamrup, Anam Ghar, Tezpur - 784001",58559,118504,1,29279.5,35.6,0.358148893,0.140740741,0.217408153
59,"Zudio - Krishna Complex, Tezpur",Assam,Tezpur,"Mission Chariali, Ketekibari, Tezpur - 784001",58559,118504,1,29279.5,35.6,0.358148893,0.140740741,0.217408153
60,"ZUDIO - Mohan Cinema, Arrah",Bihar,Arrah,"Mohan Cinema, Babu Bazar Road, Mahavir Tola, Arrah - 802301",261430,76490,1,130715,58.2,0.585513078,0.140740741,0.444772338
61,"ZUDIO - MEENA BAZAR, BETTIAH",Bihar,Bettiah,"Citi Centre, Meena Bazar, Town Hall Road , Bettiah - 845438 , Bihar",261430,76490,1,130715,58.2,0.585513078,0.140740741,0.444772338
62,"Zudio - DN Singh Road, Bhagalpur",Bihar,Bhagalpur,"Signatures Heights, DN Singh Road, Goshalla, Bhagalpur - 812002",400146,76490,1,200073,87.8,0.883299799,0.140740741,0.742559058
63,"ZUDIO - Nagmatia Colony, Gaya",Bihar,Gaya,"6 Nagmatia Colony, Gaya - 823001",474093,76490,1,237046.5,56,0.563380282,0.140740741,0.422639541
64,"ZUDIO ÃÂ Manju Complex, Hajipur",Bihar,Hajipur,"Beside Navin Cinema, Plot Number 416, Khata Number 388, Kesra Number 416, Thana 164 , Hajipur - 844410 , Bihar",474093,76490,1,237046.5,56,0.563380282,0.140740741,0.422639541
65,"ZUDIO - Shiv Mitra Tower, Muzaffarpur",Bihar,Muzaffarpur,"Punjabi Colony, New Colony, Gannipur, Muzaffarpur - 842002",354462,76490,1,177231,77.4,0.778672032,0.140740741,0.637931291
66,"ZUDIO - ICON Plaza Mall, Muzaffarpur",Bihar,Muzaffarpur,"First Floor, Icon Plaza Mall, Shrirampuri, Bhagwanpur, Muzaffarpur - 842001",354462,76490,1,177231,77.4,0.778672032,0.140740741,0.637931291
67,"Zudio - East Lakshmi Nagar, Patna",Bihar,Patna,"Nearby Maruti Suzuki Arena, Bypass Road, Jaganpura, Patna - 800027",1684297,76490,1,842148.5,78.4,0.788732394,0.140740741,0.647991654
68,"Zudio - ABC Tower, Patna",Bihar,Patna,"ABC Tower - Ambition Business Center, Opp. Ankur Restaurant, Patna - 800001",1684297,76490,1,842148.5,78.4,0.788732394,0.140740741,0.647991654
69,"Zudio - One Mall, Patna",Bihar,Patna,"One Mall, New Dak Bunglow Road, Adalat Ganj, Kidwaipuri, Patna - 800001",1684297,76490,1,842148.5,78.4,0.788732394,0.140740741,0.647991654
70,"Zudio - Ashiana Mahendra Enclave, Patna",Bihar,Patna,"Ashiana Mahendra Enclave, Saguna- Khagaul Road, Kaliket Nagar, Mainpura, Patna - 801503",1684297,76490,1,842148.5,78.4,0.788732394,0.140740741,0.647991654
71,"ZUDIO - KANKARBAUG, PATNA",Bihar,Patna,"Sai Kusum Infinity, Kankarnaug Main Road, Patna - 800001",1684297,76490,1,842148.5,78.4,0.788732394,0.140740741,0.647991654
72,"ZUDIO - Bailey Road, Patna",Bihar,Patna,"SKREPL Sai Mani Orchid, Main Bailley Road, Patna - 801503",1684297,76490,1,842148.5,78.4,0.788732394,0.140740741,0.647991654
73,"ZUDIO - Kali Asthan,Patna",Bihar,Patna,"Multi Functional Complex, Patna Saheb Railway station, Chowk Shikharpur, Kali Asthan, Patna - 800009",1684297,76490,1,842148.5,78.4,0.788732394,0.140740741,0.647991654
74,"Zudio - Phulwari Sharif, Patna",Bihar,Patna,"Plot No 68, Khata No 1019, DB Enclave, Near Fashion World, Standard Timber Plot, Phulwari Sharif, Patna - 801505",1684297,76490,1,842148.5,78.4,0.788732394,0.140740741,0.647991654
75,"Zudio - Anisabad, Patna",Bihar,Patna,"Ground Floor and 1st Floor, Kohinoor Plaza, Beur More Road, Anisabad, Patna - 800002",1684297,76490,1,842148.5,78.4,0.788732394,0.140740741,0.647991654
76,"Zudio - Maa Kali Complex, Purnia",Bihar,Purnia,"Hotel Raj Laxmi, Laxmi Market Bhatta, Kali Bari Chowk, Bhatta Durga Bari, Navratan Hatta, Purnia - 854301",282248,76490,1,141124,49,0.492957746,0.140740741,0.352217006
77,"ZUDIO - Mohanpur, Samastipur",Bihar,Samastipur,"14, SH-50 Mohanpur Main Road, Samastipur - 848101",67925,76490,1,33962.5,55.2,0.555331992,0.140740741,0.414591251
78,"Zudio - GT Road, Sasaram",Bihar,Sassaram,"Plot No 29, Ground And First Floor, GT Road, SP Jain College Road, Sassaram - 821115",147408,76490,1,73704,45,0.452716298,0.140740741,0.311975557
79,"Zudio - Babunia More, Siwan",Bihar,Siwan,"Ground & 1st Floor, Rajendra Path, Beside Metropol Hotel, Babhnauli, Siwan - 841226",135066,76490,1,67533,39.8,0.400402414,0.140740741,0.259661674
80,"ZUDIO - Basant Complex, Ambikapur",Chhattisgarh,Ambikapur,"Kharsia Road, Near Basant Multiplex, Bhagawan Pur, Ambikapur - 497001",114575,140000,1,57287.5,45.2,0.45472837,0.088888889,0.365839481
81,"Zudio - Surya Treasure Island Mall, Bhilai",Chhattisgarh,Bhilai,"Surya Treasure Island, Near HI Tek Hospital, junawani road, Bhilai - 490020",1003406,140000,1,501703,43.8,0.440643863,0.088888889,0.351754974
82,"ZUDIO - CITY MALL 36, BILASPUR",Chhattisgarh,Bilaspur,"Beside Hotel Marriot, Mangla Chowk , Bilaspur - 495001 , Chhattisgarh",1003406,140000,1,501703,43.8,0.440643863,0.088888889,0.351754974
83,"Zudio - Shrikant Verma Marg, Bilaspur",Chhattisgarh,Bilaspur,"Ground And First Floor, Shrikant Verma Marg, Near Sai Mandir, Talapara , Bilaspur - 495001 , Chhattisgarh",1003406,140000,1,501703,43.8,0.440643863,0.088888889,0.351754974
84,"Zudio - Telipara, Bilaspur",Chhattisgarh,Bilaspur,"PH No 22/23, Khasra No. 566, Beside Sports Station, Near CMD college, Link Road, Bilaspur - 495001",717030,140000,1,358515,18.2,0.183098592,0.088888889,0.094209703
85,"Zudio - Amaltas Grand Mall, Dhamtari",Chhattisgarh,Dhamtari,"Rudri Road, Near Amaltaspuram, Gokulpur, Dhamtari - 493773",101677,140000,1,50838.5,6.4,0.064386318,0.088888889,-0.024502571
86,"Zudio - Currency Tower, Vip Chowk",Chhattisgarh,Raipur,"Currency Tower, VIP Chowk, Airport Road, Raipur - 492001",1010087,140000,1,505043.5,52.4,0.527162978,0.088888889,0.438274089
87,"Zudio - Nirmal Tower, Raipur",Chhattisgarh,Raipur,"Nirmal Tower, B/ 32, Shailendra Nagar, Raipur - 492001",1010087,140000,1,505043.5,52.4,0.527162978,0.088888889,0.438274089
88,"ZUDIO - PANDRI, RAIPUR",Chhattisgarh,Raipur,"Plot no ÃÂ¢ÃÂÃÂ K-11/2, Khasara No-11/7, Pandri Mandi Gate, Near CG Elite complex, Raipur - 492004",1010087,140000,1,505043.5,52.4,0.527162978,0.088888889,0.438274089
89,"Zudio - Onyx Emporium, Raipur",Chhattisgarh,Raipur,"Onyx Emporium, High-29, Sector-1, Opposite Indian Oil Petrol Pump, Shankar Nagar, Raipur - 492001",1010087,140000,1,505043.5,52.4,0.527162978,0.088888889,0.438274089
90,"Zudio - City Center Mall, Raipur",Chhattisgarh,Raipur,"City Center Mall, Atal Path Expressway, Pandri Market, Raipur - 492001",1010087,140000,1,505043.5,52.4,0.527162978,0.088888889,0.438274089
91,"Zudio - Zora The Mall, Raipur",Chhattisgarh,Raipur,"First Floor, Zora The Mall, Dharampura Road, Serikhedi, Raipur - 492012",1010087,140000,1,505043.5,52.4,0.527162978,0.088888889,0.438274089
92,"Zudio - Stadium Road, Rajnandgaon",Chhattisgarh,Rajnandgaon,"Khasara No 455/1 & 452/20, VIP Road, Beside HP Petrol Pump, Basantpur , Rajnandgaon - 491441 , Chhattisgarh",1010087,140000,1,505043.5,52.4,0.527162978,0.088888889,0.438274089
93,"ZUDIO - AZADPUR METRO, DELHI",Delhi,Azadpur,"Karnal Road, Metro Station Gate no.1, Azadpur - 110033",69220,552727,1,34610,32.2,0.323943662,0.318518519,0.005425143
94,"ZUDIO - PREET VIHAR, DELHI",Delhi,Delhi,"G-79, Vikash Marg Rd, G Block, Near BlueStone Jewellery, Preet Vihar, Delhi - 110092",16787941,552727,1,8393970.5,64.8,0.651911469,0.318518519,0.33339295
95,"ZUDIO - GHITORNI METRO STATION, DELHI",Delhi,Delhi,"Gadaipur, DLF Farms, M G Road, Delhi - 110030",16787941,552727,1,8393970.5,64.8,0.651911469,0.318518519,0.33339295
96,"Zudio - Mayur Vihar, Delhi",Delhi,Delhi,"C-16, Gali Number - 3, Kotla Main Road, Mayur Vihar, Delhi - 110091",16787941,552727,1,8393970.5,64.8,0.651911469,0.318518519,0.33339295
97,"ZUDIO - Model Town, Delhi",Delhi,Delhi,"Plot No.1, Block G, Opposite Reliance Digital, Phase 3, Model Town, Delhi - 110009",16787941,552727,1,8393970.5,64.8,0.651911469,0.318518519,0.33339295
98,"Zudio - Janakpuri West, Delhi",Delhi,Delhi,"Plot No. C1/14, New Delhi - 110058",16787941,552727,1,8393970.5,64.8,0.651911469,0.318518519,0.33339295
99,"ZUDIO - Burari, Delhi",Delhi,Delhi,"Khasra No - 738/2, Main Road Village Burari, Landmark - Opposite Telephone Exchange, Delhi - 110084",16787941,552727,1,8393970.5,64.8,0.651911469,0.318518519,0.33339295
100,"ZUDIO - ROHINI SECTOR 23, DELHI",Delhi,Delhi,"Near Ashok Apartments, Pocket 6 & 7, Sector 23, Rohini, Delhi - 110085",16787941,552727,1,8393970.5,64.8,0.651911469,0.318518519,0.33339295
101,"ZUDIO - Mayur Vihar ext. Metro, Delhi",Delhi,Delhi,"Ground floor, CPD-129, Mayur Vihar Extension Metro Station, Delhi - 110091",16787941,552727,1,8393970.5,64.8,0.651911469,0.318518519,0.33339295
102,"Zudio - Airport Express Line Metro, Delhi",Delhi,Delhi,"Konnectus Tower, New Delhi Railway Station, Ajmeri Gate, Delhi - 110002",16787941,552727,1,8393970.5,64.8,0.651911469,0.318518519,0.33339295
103,"Zudio - Narela, Delhi",Delhi,Delhi,"Main, Safiabad Road, Beside JS Automobiles, Gautam Colony, Narela - 110040",16787941,552727,1,8393970.5,64.8,0.651911469,0.318518519,0.33339295
104,"Zudio - Ram Nagar, Delhi",Delhi,Delhi,"1/2432/1, Near Kia Bazaar, Main Mandoli Road, Ram Nagar, Delhi - 110032",16787941,552727,1,8393970.5,64.8,0.651911469,0.318518519,0.33339295
105,"Zudio - Krishna Nagar, Delhi",Delhi,East Delhi,"Mandir Marg, Near SheÃÂ¢ÃÂÃÂs, Block D, Krishna Nagar, East Delhi - 110051",1709346,552727,1,854673,7.8,0.078470825,0.318518519,-0.240047694
106,"Zudio - Narela, Delhi",Delhi,Narela,"Main, Safiabad Road, Beside JS Automobiles, Gautam Colony , Narela - 110040 , Delhi",1709346,552727,1,854673,7.8,0.078470825,0.318518519,-0.240047694
107,"ZUDIO - MCKENZIE TOWER, DELHI",Delhi,New Delhi,"Mckenzie Tower, C 97, Phase II, Mayapuri Industrial Area, New Delhi - 110064",142004,552727,1,71002,2.6,0.026156942,0.318518519,-0.292361577
108,"ZUDIO - Patel Nagar, Delhi",Delhi,New Delhi,"W-5, Glory Overseas Pvt. Ltd., Near Shadipur Metro Station, Patel Nagar, New Delhi - 110008",142004,552727,1,71002,2.6,0.026156942,0.318518519,-0.292361577
109,"Zudio - Karol Bagh, New Delhi",Delhi,New Delhi,"Plot No 36, Block No 61, Khasra No 893/8, New Rohtak Road, Karol Bagh, New Delhi - 110005",142004,552727,1,71002,2.6,0.026156942,0.318518519,-0.292361577
110,"ZUDIO - Kabir Nagar, Delhi",Delhi,New Delhi,"969 E, Main 100 Feet Road, Kabir Nagar - Shadara, New Delhi - 110032",142004,552727,1,71002,2.6,0.026156942,0.318518519,-0.292361577
